name;area of expertise;topic;keywords;date;preferred city
Isabelle Ravier;Professor of criminology;Institut National de Criminalistique et de Criminologie;Juvenile courts and juvenile justice;04/03/2019;Leuven
Israel Ramírez;Postdoctoral researcher;KU Leuven;Theoretical and High- Energy Physics;11/04/2019;Brussels
Iuliia Efimova;PhD-fellow;Ghent University;Cancer and cell death;05/04/2023;​
Ive DE SMET;VIB/UGent Group Leader;VIB/UGent;Impact of climate change on plant growth + Combining art and genetics;07/04/2019;​
Jan De Lange;Lector fysica;Artevelde Hogeschool, associatie Universiteit Gent;Science and STEM education;06/04/2019;​
Jan Rombouts & Felix Nolet;PhD fellows, Laboratory of Dynamics in Biological Systems;KU Leuven;Mathematical modelling in biology;08/04/2019;​
Jan Seys;Science Communication;Flanders Marine Institute (VLIZ);Science Communication;12/04/2019;not set
Jan Trachet;Archeoloog, PostDoc;Universiteit Gent;Archeology, Middle Age harbour landscape Bruges region;20/04/2019;​
Jana Raman;PhD student;KU Leuven;Ageing, medicine;18/04/2022;Brussels
Janne Teerlinck;PhD researcher;KU Leuven;Nature-Based Solutions for Climate Resilient Domestic Gardens;12/04/2023;​
Jesse Erens;doctoraatstudent;Universiteit Gent;Worden salamanders uitgeroeid door een schimmelziekte?;14/04/2019;​
Jesse Erens;FWO PhD Fellow;Ghent University;Conservation biology, Ecology, Evolution;05/04/2019;​
Jessika De Clippeleer;Associate Professor in Brewing and Technology of Fermentation Processes;Ghent University;malting, brewing and fermentation technology;18/10/2022;​
Jinthe Van Loenhout;;University of Antwerp, Faculty of Medicine and Health Sciences;Using our own immune system to fight cancer.;13/04/2019;Ostend
Jo Leroy;;University of Antwerp, Faculty of Pharmaceutical, Biomedical and Veterinary Sciences;Vindt het jonge embryo dat fast food dieet van mama eigenlijk wel lekker?;13/04/2019;Ostend
Jo Olluyn;ex-brewer;Tall Poppy Brewing company;bio-engineer with a speciality in cell- and gene technology;17/04/2023;Ostend
Joachim Pelicaen;Verantwoordelijke evaluatie waterkwaliteit, Vlaamse Milieu Maatschappij (VMM);;;20/04/2023;​
Joanne Beames;Postdoctoral Research Fellow and Clinical Psychologist;KU Leuven;Youth mental health, depression, emotions, digital technology;10/02/2023;Brussels
Johan Rutgeerts;Architect, urbanist, senior lecturer;Faculteit Architectuur, Katholieke Universiteit Leuven;Architecture;02/04/2019;Brussels
Johan Yans;Professeur de Géologie;Université de Namur;Geology,environment, rare minerals for high tech products;01/09/2020;​
Johnny Duerinck;Neurosurgeon;University Hospital Brussels;AR/VR in surgery;22/04/2022;not set
Jonas Schoelynck & Eric Struyf;;University of Antwerp, Faculty of Sciences;;02/05/2019;Ostend
Jonas Schröder;PhD researcher;Department of Rehabilitation Sciences and Physiotherapy, Faculty of Medicine and Health Sciences, University of Antwerp;Medical sciences, Clinical Neurology, Rehabilitation;28/03/2022;Ostend
Josefien Van Olmen;;Institute of Tropical Medicine;How to improve health care for all.;13/04/2019;Ostend
Joseph Cheek;Project Manager, Communications Manager;International Polar Foundation (IPF);I'm contacting on behalf of engineers who work at the Princess Elisabeth station;21/03/2023;Leuven
Juan A. Aguilar;Experimental physicist;Physics Department, Université Libre de Bruxelles;Particle astrophysics, in particular in neutrino astronomy;14/04/2019;Leuven
Julia Bodensteiner;Ph. D. student;KU Leuven;Astronomy: Binaries and young stellar clusters;08/04/2019;Brussels
